re	sgRNA	Negative|beta	Negative|z	Negative|p-value	Negative|fdr	Negative|wald-p-value	Negative|wald-fdr	Low|beta	Low|z	Low|p-value	Low|fdr	Low|wald-p-value	Low|wald-fdr	Medium|beta	Medium|z	Medium|p-value	Medium|fdr	Medium|wald-p-value	Medium|wald-fdr	High|beta	High|z	High|p-value	High|fdr	High|wald-p-value	High|wald-fdr
RE106	59	0.0082827	0.2936	0.85252	0.93307	0.76907	0.93353	0.015923	0.56392	0.48201	0.8046	0.57281	0.99032	0.0019914	0.07064	0.7554	0.86777	0.94368	0.994	-0.01461	-0.51819	0.29856	0.47159	0.60432	0.98292
RE66	47	0.014424	0.4287	0.78417	0.89024	0.66814	0.92585	0.018663	0.55424	0.42806	0.78125	0.57942	0.99032	0.016684	0.49618	0.35252	0.60494	0.61977	0.994	0.0090754	0.26988	0.47482	0.62264	0.78725	0.98292
RE127	256	0.14899	8.8673	0	0	7.4915e-19	5.2066e-17	-0.029803	-1.7701	0	0	0.076706	0.99032	-0.067149	-3.9944	0	0	6.4849e-05	0.0018028	-0.10266	-6.105	0	0	1.0279e-09	2.146e-08
RE79	61	0.034971	1.4172	0.02518	0.092105	0.15642	0.60396	0.024139	0.97708	0.10432	0.42647	0.32853	0.99032	-0.0075993	-0.30815	0.17986	0.40323	0.75797	0.994	0.016855	0.68356	0.11511	0.25735	0.49425	0.98292
RE45	60	-0.10363	-3.5396	0	0	0.00040075	0.0032767	0.0374	1.2775	0	0	0.20143	0.99032	0.10561	3.6123	0	0	0.00030353	0.0048231	0.13352	4.5674	0	0	4.9384e-06	5.7203e-05
RE87	84	0.088241	3.7	0	0	0.00021561	0.0018731	0.0071261	0.29843	0.98921	0.98921	0.76538	0.99032	-0.028064	-1.1768	0	0	0.23926	0.994	-0.042573	-1.785	0	0	0.074262	0.35595
RE76	76	-0.0024784	-0.10598	0.22302	0.44286	0.9156	0.96359	0.0047289	0.20209	0.85612	0.97761	0.83985	0.99032	-0.0068973	-0.2951	0.13309	0.34906	0.76792	0.994	-0.007888	-0.33747	0.41367	0.59896	0.73576	0.98292
RE96	57	0.25647	6.1686	0	0	6.8879e-10	1.1291e-08	0.0083374	0.20012	0.92446	0.97761	0.84138	0.99032	-0.15224	-3.6567	0	0	0.00025549	0.0048231	-0.48411	-11.601	0	0	4.0782e-31	5.6687e-29
RE15	66	0.020989	0.79946	0.39209	0.61798	0.42402	0.90676	-0.0083446	-0.31748	0.18345	0.57955	0.75088	0.99032	-0.0027253	-0.10387	0.40647	0.65517	0.91727	0.994	0.011256	0.42903	0.30576	0.47753	0.6679	0.98292
RE114	67	-0.0065488	-0.2497	0.16547	0.37097	0.80282	0.93774	-0.010884	-0.41478	0.1259	0.46053	0.67831	0.99032	0.007608	0.29023	0.89209	0.94656	0.77164	0.994	0.010134	0.38657	0.3741	0.55319	0.69907	0.98292
RE51	21	-0.38845	-5.7577	0	0	8.5267e-09	1.0775e-07	0.014506	0.2154	0.67626	0.90654	0.82946	0.99032	0.15256	2.2699	0	0	0.023214	0.24821	0.25041	3.7271	0	0	0.00019372	0.0019234
RE122	54	0.040399	1.2507	0.032374	0.10714	0.21105	0.69847	0.0089656	0.27728	0.92086	0.97761	0.78157	0.99032	-0.024291	-0.75227	0.010791	0.05	0.45189	0.994	-0.0087636	-0.27141	0.43885	0.60784	0.78608	0.98292
RE56	29	-0.011767	-0.2724	0.2446	0.46575	0.78532	0.93353	0.044727	1.0349	0.053957	0.3125	0.30071	0.99032	-0.044543	-1.0316	0.014388	0.0625	0.30225	0.994	-0.15047	-3.4829	0	0	0.00049605	0.0045967
RE40	43	0.015303	0.49409	0.70504	0.83051	0.62124	0.92585	-0.015232	-0.49145	0.079137	0.37931	0.62311	0.99032	-0.010346	-0.33415	0.19065	0.42063	0.73826	0.994	-0.031133	-1.0055	0.021583	0.071429	0.31467	0.94315
RE78	39	0.019384	0.56958	0.57914	0.77523	0.56897	0.92585	-0.0060177	-0.17664	0.3777	0.72917	0.8598	0.99032	-5.8682e-05	-0.0017254	0.66547	0.82301	0.99862	0.99937	0.0087485	0.25723	0.57914	0.7087	0.797	0.98292
RE52	77	-0.27546	-8.2575	0	0	1.4872e-16	6.8906e-15	0.081587	2.4493	0	0	0.014315	0.49743	0.1703	5.1217	0	0	3.0284e-07	2.1048e-05	0.20615	6.2006	0	0	5.6247e-10	1.5637e-08
RE65	78	0.020683	0.86198	0.30935	0.5443	0.3887	0.9045	0.0082083	0.34187	0.92446	0.97761	0.73245	0.99032	-0.010808	-0.4506	0.089928	0.26596	0.65228	0.994	-0.013224	-0.5513	0.16906	0.30128	0.58143	0.98292
RE17	71	-0.0028027	-0.097241	0.27698	0.51299	0.92254	0.96359	0.015625	0.54174	0.42806	0.78125	0.58799	0.99032	0.026878	0.93327	0.068345	0.23171	0.35068	0.994	-0.0041902	-0.14547	0.64748	0.77586	0.88434	0.98361
RE49	80	-0.25914	-7.6348	0	0	2.2614e-14	7.8583e-13	0.059275	1.7481	0	0	0.080453	0.99032	0.16545	4.8868	0	0	1.025e-06	4.7493e-05	0.23208	6.8558	0	0	7.0923e-12	2.4646e-10
RE137	54	0.027448	0.97156	0.17986	0.39683	0.33127	0.88551	-0.006897	-0.24388	0.28777	0.7193	0.80732	0.99032	-0.0073978	-0.26198	0.26619	0.52083	0.79334	0.994	0.0078834	0.27918	0.46763	0.62264	0.78011	0.98292
RE38	82	-0.030779	-1.4576	0	0	0.14496	0.59262	0.016262	0.76983	0.34532	0.72388	0.4414	0.99032	0.019325	0.91568	0.14748	0.35965	0.35983	0.994	0.027495	1.3028	0.010791	0.039474	0.19263	0.74376
RE82	38	0.039861	1.1323	0.046763	0.1413	0.25751	0.77813	0.0072328	0.20525	0.96043	0.98162	0.83738	0.99032	0.00011471	0.0032598	0.70144	0.83333	0.9974	0.99937	-0.0056357	-0.16015	0.74101	0.81746	0.87276	0.98361
