id	re	R1_High	R1_Unsorted	R1_Low	R1_Medium	R1_Negative	R2_High	R2_Unsorted	R2_Low	R2_Medium	R2_Negative
gRNA_718	RE22	574.7544669221909	511.4671151820243	455.4008642197978	463.427264318966	571.4044162105204	723.6810118343647	704.806362929871	727.5416725773019	726.0274995399228	737.7345532300986
gRNA_4618	RE98	820.2327898443616	838.6067959965009	887.6043653828231	861.3889671356246	825.803599775552	635.1732621855574	591.9412894794317	605.720741355056	544.520624654942	621.3043793264658
gRNA_751	RE22	295.7570155688804	266.52750645037304	250.2873382441248	296.31780469465485	318.9927262670905	383.5335818114978	497.0866000902327	442.164861473337	411.2868547925626	417.29398611479047
gRNA_6675	RE129	536.3060548982364	443.3822069922094	473.7145718961972	431.5558725349479	444.20482442800454	494.6021303903931	437.051986552765	446.67674781490166	463.42180821697195	361.65478796615173
BRDN0000738011	NT	427.8618158563136	395.2245890042915	399.23882734550637	464.2886532861017	413.3986732931765	568.3585884310658	554.7198290862017	513.2270713529805	639.1359104992405	675.9132219538334
gRNA_1259	RE33	211.95919449103096	267.35781020878545	218.5435782716992	249.80280046933115	247.44295588942535	92.84636482767029	86.44984349395351	110.54121536833425	93.64982374384643	73.15524201024722
gRNA_6318	RE126	218.86019152097148	180.17591557548585	191.6834736796468	231.713632159483	184.83690680896834	172.67688411875127	254.5467613988631	228.97823183440667	254.8819945193346	265.83172448794056
gRNA_6611	RE128	256.322746826363	274.8305440344968	219.7644921167925	237.7433549294324	211.66807070059275	395.6817043123145	384.2215266397934	448.932690985684	416.1141652948228	347.2298106683565
BRDN0000737783	NT	544.19290864674	572.0792895461278	672.7235286464037	587.467275586496	670.7790972906108	493.7344073546205	427.44644838677016	541.4263609877596	413.2177789934667	486.3278060399533
gRNA_2671	RE60	326.31857384433135	334.612414640188	305.2284612733229	315.2683619716386	368.68006680713574	271.5973101968299	303.77514449958664	293.2726122017031	267.4330018252109	357.53336588106737
gRNA_6804	RE133	1115.0039486946791	977.2675236513679	814.3495346772256	1099.9937110321926	1019.5842278817286	759.2576563010421	836.8825127123	845.9786890433744	840.9174894937138	789.252329293653
gRNA_5894	RE120	463.3526577245793	398.545804037941	385.8087750494802	416.0508711265067	385.57376259075113	391.3430891334514	375.8166807445479	350.79916305665256	360.11736346860533	410.0814974658928
gRNA_4493	RE96	540.2494817724883	851.0613523726865	957.1964545531407	810.5670180746228	1127.902630259027	505.88252985543716	701.2042861176229	651.9675763560939	573.4844876685029	907.7432142398281
gRNA_913	RE24	466.3102278802681	498.1822550474263	472.49365805110386	481.5164326288142	538.6107714540905	340.14743002286684	331.3910667268218	261.6894078107505	342.7390456604689	316.31914503022386
gRNA_2131	RE52	1033.1778410539555	622.7278188092829	763.0711531833073	903.5970265252703	317.9989794562896	1309.3940609808828	767.2423610088374	751.2290758705165	1003.1151223696539	322.5012781578504
gRNA_243	RE12	716.7178343952535	584.5338459223135	628.7706302230453	696.8636744127203	610.1605418317556	745.3740877286801	713.2112088251165	765.8927064806016	815.8154748819611	758.3416636555204
gRNA_2775	RE61	153.79364809581782	173.53348550818683	148.95148910138158	119.73306643185182	167.94321102535295	212.59214376429176	250.94468458661507	163.55587988171905	206.60888949673335	315.2887895089528
gRNA_2274	RE55	440.6779531976318	495.69134377218916	597.0268702506196	660.6853377930241	385.57376259075113	414.7716110993121	387.8236034520415	374.4865663498671	403.56315798894644	226.67821467963927
gRNA_2953	RE65	532.3626280239847	474.9337498118797	485.9237103471301	453.9519856804742	504.82337988685975	444.27419431558116	488.6817541949872	392.5341117161257	512.6603753400252	494.57065021012204
gRNA_422	RE16	182.3834929341429	124.54556376185657	107.44041836820966	177.44612722993867	116.26837686370588	354.89872163100137	355.4049121418089	359.8229357397819	350.46274246408507	353.411943795983
gRNA_4175	RE88	588.5564609820719	599.4793135737362	644.642510209258	645.1803363845828	610.1605418317556	368.7822902033633	325.387605373075	298.9124701286589	330.18803835459255	431.71896341258565
gRNA_2329	RE55	707.845123928187	585.3641496807259	665.398045575844	676.1903392014653	555.5044672377059	507.61797592698235	495.88590781948335	525.6347587922833	476.93827762330034	446.1439407103809
gRNA_4924	RE105	495.8859294371561	435.909473166498	426.0989319375588	516.8333802813747	419.3611541579819	408.69754984890375	420.242294762274	410.58165708238437	431.56155890205514	466.75105113580264
gRNA_1610	RE42	903.0447542036482	758.0673314305003	710.5718578442958	836.4086870886915	713.5102101550498	668.146737544917	655.5779798291475	670.0151217223525	644.9286831019526	641.9114897518875
gRNA_2110	RE52	779.8126643832813	772.1824953235107	805.8031377615725	834.6859091544203	855.6160040995792	924.9927561336124	996.5745847219641	933.9604727038853	918.1544575298757	935.5628133141474
gRNA_3261	RE70	369.6962694611005	380.27912135286874	394.3551719651332	374.7042007039967	439.236090374	325.39613841473226	326.5882976438244	318.0879870803088	338.8771972586608	299.8334566898865
gRNA_2849	RE63	330.2620007185831	328.8002883313013	354.06501507705457	285.11974812189175	262.3491580514389	337.544260915549	369.8132193908011	337.2635040319586	366.87559817176947	272.01385761556713
gRNA_6482	RE127	754.180389700645	820.3401133114286	793.5939993106396	698.5864523469916	847.666029613172	808.7178693400813	785.2527450700777	898.9933535567592	903.6725260230953	796.4648179425507
gRNA_3850	RE84	838.9640674970574	817.8492020361915	857.0815192554908	837.2700760558272	680.7165653986199	726.2841809416825	651.9759030168995	677.9109228200906	643.9632210015006	681.0649995601889
gRNA_3606	RE79	471.23951147308276	460.8185859188693	391.9133442749466	435.8628173706261	475.0109755628326	387.00447395458826	420.242294762274	378.99845269143174	398.7358474866863	437.9010965402122
gRNA_6721	RE130	876.426622802449	888.4250215012436	902.2553315239426	907.0425823938127	752.2663357762851	1003.9555523889208	859.6956658565377	786.1961950176426	922.9817680321358	765.554152304418
gRNA_6380	RE127	641.7927237844705	646.8066278032418	715.455513224669	629.6753349761416	718.4789442090544	563.15225021643	593.141981750181	614.7445140381853	617.895744289296	625.4258014115501
