id	re	Plasmid_library
gRNA_2849	RE63	662.7274725274724
gRNA_4594	RE97	1109.2175824175822
gRNA_5379	RE111	1285.4109890109887
gRNA_1582	RE42	632.6945054945054
gRNA_2000	RE50	519.5703296703296
gRNA_2601	RE59	781.8582417582415
gRNA_3728	RE81	504.55384615384605
gRNA_4487	RE96	849.9329670329669
gRNA_4041	RE87	734.8065934065933
gRNA_648	RE22	688.7560439560438
BRDN0000738011	NT	1091.197802197802
gRNA_6786	RE132	1103.2109890109887
gRNA_1566	RE41	1033.1340659340658
gRNA_6862	RE134	1547.6989010989007
gRNA_6762	RE130	733.8054945054944
gRNA_6659	RE129	1143.2549450549448
gRNA_3308	RE71	1148.2604395604394
BRDN0000737868	NT	1150.2626373626372
gRNA_2457	RE57	1126.2362637362635
gRNA_3902	RE84	916.0054945054943
gRNA_766	RE22	809.8890109890108
gRNA_2841	RE62	1159.2725274725271
gRNA_3815	RE83	1176.2912087912084
gRNA_1724	RE45	1097.2043956043954
BRDN0000738271	NT	387.4252747252746
gRNA_789	RE22	399.43846153846147
gRNA_6754	RE130	1025.1252747252745
gRNA_6357	RE127	611.6714285714285
gRNA_3791	RE82	1201.318681318681
gRNA_6547	RE127	750.8241758241757
gRNA_117	RE7	592.6505494505493
BRDN0000738050	NT	1579.7340659340655
gRNA_5863	RE120	541.5945054945054
gRNA_778	RE22	940.0318681318679
gRNA_2592	RE58	694.7626373626372
gRNA_6402	RE127	1214.3329670329667
gRNA_5707	RE115	702.7714285714284
gRNA_5915	RE120	1135.2461538461537
gRNA_5577	RE113	1314.4428571428568
gRNA_912	RE24	1006.1043956043953
gRNA_2554	RE58	926.0164835164833
gRNA_1650	RE43	938.0296703296701
gRNA_2902	RE64	1251.3736263736262
gRNA_2231	RE54	726.7978021978021
gRNA_5033	RE107	1287.4131868131865
BRDN0000737885	NT	927.0175824175822
gRNA_2436	RE57	1492.6384615384611
gRNA_5074	RE107	881.9681318681316
gRNA_765	RE22	1131.241758241758
gRNA_3414	RE74	475.52197802197793
gRNA_4697	RE101	1174.2890109890106
gRNA_3864	RE84	1143.2549450549448
gRNA_5296	RE111	1118.2274725274722
gRNA_2085	RE52	909.9989010989009
gRNA_5002	RE106	898.986813186813
gRNA_41	RE4	1097.2043956043954
gRNA_6277	RE126	859.9439560439558
BRDN0000737654	NT	1179.2945054945053
gRNA_3483	RE76	384.4219780219779
gRNA_108	RE7	1259.3824175824172
gRNA_3249	RE70	874.9604395604393
gRNA_772	RE22	1000.097802197802
gRNA_6912	RE136	1173.2879120879118
gRNA_3739	RE81	863.9483516483515
gRNA_1633	RE43	1252.374725274725
gRNA_6419	RE127	359.39450549450544
gRNA_6488	RE127	463.5087912087911
gRNA_3663	RE80	1178.2934065934064
gRNA_5817	RE119	939.030769230769
gRNA_3152	RE68	659.7241758241756
gRNA_6460	RE127	986.0824175824174
gRNA_6606	RE128	845.9285714285712
BRDN0000737553	NT	890.9780219780217
gRNA_4847	RE105	1190.306593406593
gRNA_2033	RE50	856.9406593406592
gRNA_4043	RE87	962.0560439560437
gRNA_4258	RE90	1080.185714285714
gRNA_4950	RE105	381.41868131868125
gRNA_4846	RE105	1249.3714285714284
gRNA_3573	RE78	513.5637362637361
gRNA_2559	RE58	1324.453846153846
gRNA_6913	RE136	731.8032967032965
gRNA_4578	RE97	1036.1373626373625
gRNA_5080	RE107	1014.1131868131865
gRNA_6955	RE137	1006.1043956043953
gRNA_4672	RE99	1003.1010989010987
gRNA_3433	RE74	1702.8692307692304
gRNA_1513	RE39	530.5824175824174
gRNA_5121	RE108	1055.1582417582415
gRNA_4858	RE105	992.0890109890107
gRNA_4471	RE95	973.0681318681317
gRNA_3386	RE73	1494.640659340659
gRNA_2152	RE52	722.7934065934064
gRNA_5918	RE120	377.41428571428565
gRNA_6578	RE127	411.45164835164826
gRNA_3023	RE65	1296.4230769230767
BRDN0000738255	NT	1268.3923076923074
gRNA_2100	RE52	917.0065934065932
gRNA_1112	RE30	622.6835164835163
BRDN0000737669	NT	1021.1208791208788
gRNA_5341	RE111	1382.5175824175822
gRNA_6274	RE126	1163.276923076923
gRNA_5146	RE109	432.4747252747252
gRNA_1291	RE35	1005.1032967032965
gRNA_340	RE13	833.9153846153845
gRNA_6856	RE134	994.0912087912086
