run_accession sra_ftp
ERR1041403 E3.1.443.fastq
ERR1041404 E3.1.444.fastq
ERR1041405 E3.1.445.fastq
ERR1041406 E3.1.447.fastq
ERR1041407 E3.1.448.fastq
ERR1041408 E3.2.449.fastq
ERR1041409 E3.2.450.fastq
ERR1041410 E3.2.452.fastq
ERR1041411 E3.2.453.fastq
ERR1041412 E3.2.454.fastq
ERR1041413 E3.2.455.fastq
ERR1041414 E3.2.466.fastq
ERR1041415 E3.2.467.fastq
ERR1041416 E3.3.456.fastq
ERR1041417 E3.3.457.fastq
ERR1041418 E3.3.458.fastq
ERR1041419 E3.3.459.fastq
ERR1041420 E3.3.460.fastq
ERR1041421 E3.4.462.fastq
ERR1041422 E3.4.463.fastq
ERR1041423 E3.4.465.fastq
ERR1041424 E4.1.1.fastq
ERR1041425 E4.1.2.fastq
ERR1041426 E4.1.3.fastq
ERR1041427 E4.1.4.fastq
ERR1041428 E4.1.7.fastq
ERR1041429 E4.10.1219.fastq
ERR1041430 E4.10.1221.fastq
ERR1041431 E4.10.1223.fastq
ERR1041432 E4.10.1225.fastq
ERR1041433 E4.10.1227.fastq
ERR1041434 E4.10.1228.fastq
ERR1041435 E4.10.1229.fastq
ERR1041436 E4.10.1230.fastq
ERR1041437 E4.10.1231.fastq
ERR1041438 E4.10.1232.fastq
ERR1041439 E4.10.1233.fastq
ERR1041440 E4.11.1258.fastq
ERR1041441 E4.2.10.fastq
ERR1041442 E4.2.13.fastq
ERR1041443 E4.24_5_0_4.1.fastq
ERR1041444 E4.24_5_0_4.10.fastq
ERR1041445 E4.24_5_0_4.12.fastq
ERR1041446 E4.24_5_0_4.2.fastq
ERR1041447 E4.24_5_0_4.3.fastq
ERR1041448 E4.24_5_0_4.4.fastq
ERR1041449 E4.24_5_0_4.5.fastq
ERR1041450 E4.24_5_0_4.7.fastq
ERR1041451 E4.24_5_0_4.9.fastq
ERR1041452 E4.3.472.fastq
ERR1041453 E4.3.473.fastq
ERR1041454 E4.3.476.fastq
ERR1041455 E4.3.478.fastq
ERR1041456 E4.3.479.fastq
ERR1041457 E4.3.480.fastq
ERR1041458 E4.3.481.fastq
ERR1041459 E4.3.482.fastq
ERR1041460 E4.3.484.fastq
ERR1041461 E4.3.485.fastq
ERR1041462 E4.3.486.fastq
ERR1041463 E4.3.487.fastq
ERR1041464 E4.3.488.fastq
ERR1041465 E4.3.489.fastq
ERR1041466 E4.3.490.fastq
ERR1041467 E4.3.491.fastq
ERR1041468 E4.31_5_1.10.fastq
ERR1041469 E4.31_5_1.11.fastq
ERR1041470 E4.31_5_1.12.fastq
ERR1041471 E4.31_5_1.2.fastq
ERR1041472 E4.31_5_1.3.fastq
ERR1041473 E4.31_5_1.4.fastq
