Read 1	Read 2	Accession Number
CTCF_Stadler_ESC_r1.fastq		GSM747534
CTCF_Stadler_ESC_r2.fastq		GSM747535
Input_Stadler_ESC_r1.fastq		GSM747545
Input_Stadler_ESC_r2.fastq		GSM747546
OCT4_Buecker_ESC_r1.fastq		GSM1355154  
OCT4_Buecker_ESC_r2.fastq		GSM1355155  
OTX2_Buecker_ESC_r2.fastq		GSM1355157
Input_Buecker_ESC_r1.fastq		GSM1355163
Input_Buecker_ESC_r2.fastq		GSM1355164
OCT4_Buecker_EPI_r1.fastq		GSM1355167
OCT4_Buecker_EPI_r2.fastq		GSM1355168
OTX2_Buecker_EPI_r1.fastq		GSM1355169
OTX2_Buecker_EPI_r2.fastq		GSM1355170
Input_Buecker_EPI_r1.fastq		GSM1355176
Input_Buecker_EPI_r2.fastq		GSM1355177
SMAD2-3_Wang_EB_1.fastq	SMAD2-3_Wang_EB_2.fastq	GSM1782914
TCF3_Wang_EB_1.fastq	TCF3_Wang_EB_2.fastq	GSM1782918
Input_Wang_EB_1.fastq	Input_Wang_EB_2.fastq	GSM1782919
SMAD2-3_Wang_ESC_1.fastq	SMAD2-3_Wang_ESC_2.fastq	GSM1782920
TCF3_Wang_ESC_1.fastq	TCF3_Wang_ESC_2.fastq	GSM1782923
Input_Wang_ESC_1.fastq	Input_Wang_ESC_2.fastq	GSM1782924
RNA_E3.5_ICM_r1_1.fastq	RNA_E3.5_ICM_r1_2.fastq	GSM2027204
RNA_E3.5_ICM_r2_1.fastq	RNA_E3.5_ICM_r2_2.fastq	GSM2027205
RNA_E3.5_TE_r1_1.fastq	RNA_E3.5_TE_r1_2.fastq	GSM2027206
RNA_E3.5_TE_r2_1.fastq	RNA_E3.5_TE_r2_2.fastq	GSM2027207
RNA_E4.0_ICM_r1_1.fastq	RNA_E4.0_ICM_r1_2.fastq	GSM2027208
RNA_E4.0_ICM_r2_1.fastq	RNA_E4.0_ICM_r2_2.fastq	GSM2027209
RNA_E5.5_EPI_r1_1.fastq	RNA_E5.5_EPI_r1_2.fastq	GSM2027210
RNA_E5.5_EPI_r2_1.fastq	RNA_E5.5_EPI_r2_2.fastq	GSM2027211
RNA_E5.5_VE_r1_1.fastq	RNA_E5.5_VE_r1_2.fastq	GSM2027212
RNA_E5.5_VE_r2_1.fastq	RNA_E5.5_VE_r2_2.fastq	GSM2027213
RNA_E6.5_EPI_r1_1.fastq	RNA_E6.5_EPI_r1_2.fastq	GSM2027214
RNA_E6.5_EPI_r2_1.fastq	RNA_E6.5_EPI_r2_2.fastq	GSM2027215
RNA_E6.5_VE_r1_1.fastq	RNA_E6.5_VE_r1_2.fastq	GSM2027216
RNA_E6.5_VE_r2_1.fastq	RNA_E6.5_VE_r2_2.fastq	GSM2027217
RNA_E7.5_ECT_r1_1.fastq	RNA_E7.5_ECT_r1_2.fastq	GSM2027218
RNA_E7.5_ECT_r2_1.fastq	RNA_E7.5_ECT_r2_2.fastq	GSM2027219
RNA_E7.5_PS_r1_1.fastq	RNA_E7.5_PS_r1_2.fastq	GSM2027220
RNA_E7.5_PS_r2_1.fastq	RNA_E7.5_PS_r2_2.fastq	GSM2027221
RNA_E7.5_MES_r1_1.fastq	RNA_E7.5_MES_r1_2.fastq	GSM2027222
RNA_E7.5_MES_r2_1.fastq	RNA_E7.5_MES_r2_2.fastq	GSM2027223
RNA_E7.5_END_r1_1.fastq	RNA_E7.5_END_r1_2.fastq	GSM2027224
RNA_E7.5_END_r2_1.fastq	RNA_E7.5_END_r2_2.fastq	GSM2027225
Zylicz_TX1072_H3K27ac_d0_r1_1.fastq	Zylicz_TX1072_H3K27ac_d0_r1_2.fastq	GSM3266997
Zylicz_TX1072_H3K4me1_d0_r1_1.fastq	Zylicz_TX1072_H3K4me1_d0_r1_2.fastq	GSM3266999
Zylicz_TX1072_H3K4me3_d0_r1_1.fastq	Zylicz_TX1072_H3K4me3_d0_r1_2.fastq	GSM3267000
Zylicz_TX1072_H3K27me3_d0_r1_1.fastq	Zylicz_TX1072_H3K27me3_d0_r1_2.fastq	GSM3267001
Zylicz_TX1072_H2AK119ub_d0_r1_1.fastq	Zylicz_TX1072_H2AK119ub_d0_r1_2.fastq	GSM3267002
Zylicz_TX1072_H3K27ac_d0_r2_1.fastq	Zylicz_TX1072_H3K27ac_d0_r2_2.fastq	GSM3267005
Zylicz_TX1072_H3K4me1_d0_r2_1.fastq	Zylicz_TX1072_H3K4me1_d0_r2_2.fastq	GSM3267007
Zylicz_TX1072_H3K4me3_d0_r2_1.fastq	Zylicz_TX1072_H3K4me3_d0_r2_2.fastq	GSM3267008
Zylicz_TX1072_H3K27me3_d0_r2_1.fastq	Zylicz_TX1072_H3K27me3_d0_r2_2.fastq	GSM3267009
Zylicz_TX1072_H2AK119ub_d0_r2_1.fastq	Zylicz_TX1072_H2AK119ub_d0_r2_2.fastq	GSM3267010
ATAC_TX1072_XXdXic_d0_r1_1.fastq	ATAC_TX1072_XXdXic_d0_r1_2.fastq	GSM5102627
ATAC_TX1072_XXdXic_d0_r2_1.fastq	ATAC_TX1072_XXdXic_d0_r2_2.fastq	GSM5102628
ATAC_TX1072_XXdXic_d2_r1_1.fastq	ATAC_TX1072_XXdXic_d2_r1_2.fastq	GSM5102629
ATAC_TX1072_XXdXic_d2_r2_1.fastq	ATAC_TX1072_XXdXic_d2_r2_2.fastq	GSM5102630
ATAC_TX1072_XXdXic_d4_r1_1.fastq	ATAC_TX1072_XXdXic_d4_r1_2.fastq	GSM5102631
ATAC_TX1072_XXdXic_d4_r2_1.fastq	ATAC_TX1072_XXdXic_d4_r2_2.fastq	GSM5102632
ATAC_TX1072_XO_d0_r1_1.fastq	ATAC_TX1072_XO_d0_r1_2.fastq	GSM5102633
ATAC_TX1072_XO_d0_r2_1.fastq	ATAC_TX1072_XO_d0_r2_2.fastq	GSM5102634
ATAC_TX1072_XO_d2_r1_1.fastq	ATAC_TX1072_XO_d2_r1_2.fastq	GSM5102635
ATAC_TX1072_XO_d2_r2_1.fastq	ATAC_TX1072_XO_d2_r2_2.fastq	GSM5102636
ATAC_TX1072_XO_d4_r1_1.fastq	ATAC_TX1072_XO_d4_r1_2.fastq	GSM5102637
ATAC_TX1072_XO_d4_r2_1.fastq	ATAC_TX1072_XO_d4_r2_2.fastq	GSM5102638
cHiC_TX1072_XXdXic_d0_r1_1.fastq	cHiC_TX1072_XXdXic_d0_r1_2.fastq	GSM5102639
cHiC_TX1072_XXdXic_d0_r2_1.fastq	cHiC_TX1072_XXdXic_d0_r2_2.fastq	GSM5102640
cHiC_TX1072_XXdXic_d2_r1_1.fastq	cHiC_TX1072_XXdXic_d2_r1_2.fastq	GSM5102641
cHiC_TX1072_XXdXic_d2_r2_1.fastq	cHiC_TX1072_XXdXic_d2_r2_2.fastq	GSM5102642
cHiC_TX1072_XO_d0_r1_1.fastq	cHiC_TX1072_XO_d0_r1_2.fastq	GSM5102643
cHiC_TX1072_XO_d2_r1_1.fastq	cHiC_TX1072_XO_d2_r1_2.fastq	GSM5102644
cHiC_TX1072_XO_d2_r2_1.fastq	cHiC_TX1072_XO_d2_r2_2.fastq	GSM5102645
CRISPRi_screen_Unsorted_r1_1.fastq	CRISPRi_screen_Unsorted_r1_2.fastq	GSM5102646
CRISPRi_screen_Unsorted_r2_1.fastq	CRISPRi_screen_Unsorted_r2_2.fastq	GSM5102647
CRISPRi_screen_Negative_r1_1.fastq	CRISPRi_screen_Negative_r1_2.fastq	GSM5102648
CRISPRi_screen_Negative_r2_1.fastq	CRISPRi_screen_Negative_r2_2.fastq	GSM5102649
CRISPRi_screen_Low_r1_1.fastq	CRISPRi_screen_Low_r1_2.fastq	GSM5102650
CRISPRi_screen_Low_r2_1.fastq	CRISPRi_screen_Low_r2_2.fastq	GSM5102651
CRISPRi_screen_Medium_r1_1.fastq	CRISPRi_screen_Medium_r1_2.fastq	GSM5102652
CRISPRi_screen_Medium_r2_1.fastq	CRISPRi_screen_Medium_r2_2.fastq	GSM5102653
CRISPRi_screen_High_r1_1.fastq	CRISPRi_screen_High_r1_2.fastq	GSM5102654
CRISPRi_screen_High_r2_1.fastq	CRISPRi_screen_High_r2_2.fastq	GSM5102655
CRISPRi_screen_Plasmid_Lib_1.fastq	CRISPRi_screen_Plasmid_Lib_2.fastq	GSM5102656
CUTnTag_TX1072_XXdXic_H3K4me3_d0_r1_1.fastq	CUTnTag_TX1072_XXdXic_H3K4me3_d0_r1_2.fastq	GSM5102657
CUTnTag_TX1072_XXdXic_H3K4me3_d0_r2_1.fastq	CUTnTag_TX1072_XXdXic_H3K4me3_d0_r2_2.fastq	GSM5102658
CUTnTag_TX1072_XXdXic_H3K27ac_d0_r1_1.fastq	CUTnTag_TX1072_XXdXic_H3K27ac_d0_r1_2.fastq	GSM5102659
CUTnTag_TX1072_XXdXic_H3K27ac_d0_r2_1.fastq	CUTnTag_TX1072_XXdXic_H3K27ac_d0_r2_2.fastq	GSM5102660
CUTnTag_TX1072_XXdXic_H3K4me1_d0_r1_1.fastq	CUTnTag_TX1072_XXdXic_H3K4me1_d0_r1_2.fastq	GSM5102661
CUTnTag_TX1072_XXdXic_H3K4me1_d0_r2_1.fastq	CUTnTag_TX1072_XXdXic_H3K4me1_d0_r2_2.fastq	GSM5102662
CUTnTag_TX1072_XXdXic_H3K9me3_d0_r1_1.fastq	CUTnTag_TX1072_XXdXic_H3K9me3_d0_r1_2.fastq	GSM5102663
CUTnTag_TX1072_XXdXic_H3K9me3_d0_r2_1.fastq	CUTnTag_TX1072_XXdXic_H3K9me3_d0_r2_2.fastq	GSM5102664
CUTnTag_TX1072_XXdXic_H3K27me3_d0_r1_1.fastq	CUTnTag_TX1072_XXdXic_H3K27me3_d0_r1_2.fastq	GSM5102665
CUTnTag_TX1072_XXdXic_H3K27me3_d0_r2_1.fastq	CUTnTag_TX1072_XXdXic_H3K27me3_d0_r2_2.fastq	GSM5102666
CUTnTag_TX1072_XXdXic_H3K36me3_d0_r1_1.fastq	CUTnTag_TX1072_XXdXic_H3K36me3_d0_r1_2.fastq	GSM5102667
CUTnTag_TX1072_XXdXic_H3K36me3_d0_r2_1.fastq	CUTnTag_TX1072_XXdXic_H3K36me3_d0_r2_2.fastq	GSM5102668
CUTnTag_TX1072_XXdXic_H2AK119ub_d0_r1_1.fastq	CUTnTag_TX1072_XXdXic_H2AK119ub_d0_r1_2.fastq	GSM5102669
CUTnTag_TX1072_XXdXic_H2AK119ub_d0_r2_1.fastq	CUTnTag_TX1072_XXdXic_H2AK119ub_d0_r2_2.fastq	GSM5102670
CUTnTag_TX1072_XXdXic_IgG_d0_r1_1.fastq	CUTnTag_TX1072_XXdXic_IgG_d0_r1_2.fastq	GSM5102671
CUTnTag_TX1072_XXdXic_IgG_d0_r2_1.fastq	CUTnTag_TX1072_XXdXic_IgG_d0_r2_2.fastq	GSM5102672
CUTnTag_TX1072_XXdXic_H3K4me3_d2_r1_1.fastq	CUTnTag_TX1072_XXdXic_H3K4me3_d2_r1_2.fastq	GSM5102673
CUTnTag_TX1072_XXdXic_H3K4me3_d2_r2_1.fastq	CUTnTag_TX1072_XXdXic_H3K4me3_d2_r2_2.fastq	GSM5102674
CUTnTag_TX1072_XXdXic_H3K27ac_d2_r1_1.fastq	CUTnTag_TX1072_XXdXic_H3K27ac_d2_r1_2.fastq	GSM5102675
CUTnTag_TX1072_XXdXic_H3K27ac_d2_r2_1.fastq	CUTnTag_TX1072_XXdXic_H3K27ac_d2_r2_2.fastq	GSM5102676
