GSM_ID,Factor,Biosource,GIGGLE_score
GSM1355165,EP300,Stem cell;Ectoderm,70.99028886605115
GSM1782914,SMAD2/3,E14Tg2A;EB,60.4455704209353
GSM1355166,EP300,Stem cell;Ectoderm,59.271190870526965
GSM1355167,POU5F1,Stem cell;Ectoderm,58.10801921685098
GSM1355168,POU5F1,Stem cell;Ectoderm,55.507385366490155
GSM1782918,TCF3,E14Tg2A;EB,53.259500005158216
GSM1355169,OTX2,Stem cell;Ectoderm,50.837248630250606
GSM1355170,OTX2,Stem cell;Ectoderm,50.37341224618617
GSM1288315,SMAD2/3,Endoderm,45.52173422995657
GSM2412035,T,Sup-M2-TS,40.94215326664735
GSM1288316,TCF12,Endoderm,39.66887564704971
GSM2886566,HNF4A,Epithelium;Colon,29.51360690534348
GSM1529924,GATA6,Keratinocyte,27.786697931086817
GSM703190,SOX2,ZhBTc4;Embryonic Stem Cell;Embryo,26.74240380587132
GSM1782928,SMAD2/3,Embryonic Stem Cell,26.009397788481053
GSM2886563,HNF4A,Epithelium;Colon,25.15839219670777
GSM1333902,RUNX1,iRunx1b::Damko;Haemogenic Endothelium,23.8454459601844
GSM2052341,SMAD2,P19;embryonic teratoma,23.45306636589488
GSM1220848,KMT2B,Embryoid Bodies,23.072939568473057
GSM937540,BRD4,V6.5;Embryonic Stem Cell;Embryo,22.67832580262774
GSM307137,POU5F1,V6.5;Embryonic Stem Cell;Embryo,22.555284053407068
GSM560345,MED12,V6.5;Embryonic Stem Cell;Embryo,20.27262268885376
GSM1611763,GRHL2,Placenta,19.926136031948626
GSM1782925,TP53,E14Tg2A;EB,19.92253510145933
GSM1782926,TP53,E14Tg2A;EB,19.81338148673163
GSM2052340,SMAD2,P19;embryonic teratoma,19.46755779275923
GSM1429929,DAXX,Embryonic Stem Cell;Embryo,19.02926881732636
GSM2124222,ISL1,Ainv15;Embryoid Bodies,18.67295090011167
GSM1606986,E2F3,intestinal villus,17.927611022117226
GSM1059849,SOX17,F9;Embryonal carcinoma cell;Embryo,17.875028708433682
GSM2718363,SOX2,Embryonic Fibroblast,17.461716598142058
GSM2640378,FOXA1,T23,17.058521388626463
GSM2084233,EZH2,B Lymphocyte;Spleen,16.60024203582394
GSM647226,TP53,Embryonic Stem Cell;Embryo,16.299856295709848
GSM2091492,FOS,Blast Cells,16.176078863432267
GSM1355182,POU5F1,Embryonic Stem Cell;Embryo,16.12782603448399
GSM560346,MED12,V6.5;Embryonic Stem Cell;Embryo,15.438489935154145
GSM1399507,POLR2A,E14;Embryonic Stem Cell;Embryo,15.41759738170941
GSM723018,EP300,Embryonic Stem Cell;Embryo,14.732491141796574
GSM918750,EP300,Embryonic Stem Cell;Embryo,14.732491141796574
GSM1333903,RUNX1,iRunx1b::Damko;Haemogenic Endothelium,14.111024081630035
GSM2515956,MED1,3T3-L1;Adipocyte,14.019151613904949
GSM1924745,OTX2,Epiblast Stem Cell,13.526968830122623
GSM1708673,POU3F1,Embryonic Stem Cell;Embryo,13.522624968277807
GSM2037259,BRD4,EB,13.409217949912673
GSM1246723,TFAP2C,ZhBTc4;Embryonic Stem Cell;Embryo,13.227418489614749
GSM1904002,EZH2,Th2;Spleen,13.128006745686948
GSM2298144,JUN,Blast Cells,12.82377350422222
GSM1246722,SOX2,ZhBTc4;Embryonic Stem Cell;Embryo,12.676748323869154
GSM1246725,SOX2,TSC;Trophoblast Stem Cell;Embryo,12.58266286157696
GSM1606984,E2F3,Intestinal Crypt,12.502338711854756
GSM647224,TP53,Embryonic Stem Cell;Embryo,12.400577786625195
GSM2417135,SOX2,iPSC,12.174385627862993
GSM1529923,GATA6,Keratinocyte,12.10035664020848
GSM1924750,OTX2,Epiblast Stem Cell,11.863496100691332
GSM1384739,FOXA2,Liver,11.785966299703977
GSM864678,RXRA,Hepatocyte;Liver,11.558626333847213
GSM2037258,BRD4,EB,11.526602692082676
GSM2718353,SOX2,Intermediate,11.433442685098246
GSM784035,STAT5B,Hepatocyte;Liver,11.226669150315457
GSM2718381,SOX2,Embryonic Fibroblast,11.129430961899494
GSM2124220,ISL1,Ainv15;Embryoid Bodies,11.032732870832207
GSM2718355,SOX2,Intermediate,11.014954445357413
GSM1081159,CBX3,Fibroblast,10.889208046322436
GSM1463852,ONECUT1,Liver,10.657796662716153
GSM1395000,GATA6,Embryonic Fibroblast,10.587656958209203
GSM2091496,TEAD4,Hemogenic Endothelium,10.475240299219028
GSM2718354,SOX2,Intermediate,10.42581675921165
GSM1915736,TEC,Epithelium,10.362943715653245
GSM1606988,E2F3,Intestinal Crypt,10.18982887204137
GSM2044514,ZFP281,V6.5;Embryonic Stem Cell;Embryo,10.050680890934851
GSM1446064,NR3C1,Liver,9.99361998569038
GSM722702,POLR2A,Epithelium;Kidney,9.85516771810072
GSM918758,POLR2A,Epithelium;Kidney,9.85516771810072
GSM1873396,POLR2A,E14;Embryonic Stem Cell;Embryo,9.852535114363267
GSM1631256,MBD3,Embryonic Fibroblast,9.851576491717305
GSM864670,NR1H2,Hepatocyte;Liver,9.72966271429792
GSM1867739,SOX2,Embryonic Fibroblast;Embryo,9.547030011434476
GSM1782931,SMAD2/3,Embryonic Stem Cell,9.534638107304573
GSM1341941,RNF2,Embryonic Stem Cell;Embryo,9.5219500867035
GSM864673,RXRA,Hepatocyte;Liver,9.48965251815768
GSM1003809,MAFK,Embryonic Stem Cell;Embryo,9.3887452724155
GSM2091495,TEAD4,Blast Cells,9.319307030726833
GSM1624626,SOX2,Intermediate,9.301539682997342
GSM864676,RXRA,Hepatocyte;Liver,9.278452163065852
GSM1106085,POLR2A,Embryonic Fibroblast;Embryo,9.26730992470725
GSM647024,HDAC3,Hepatocyte;Liver,9.240928668834718
GSM2406336,HNF4A,Liver,9.192813773936413
GSM2310061,TEAD1,B Lymphocyte,9.165362297083401
GSM2417134,POU5F1,iPSC,9.153341209007325
GSM2652712,BTAF1,Embryonic Stem Cell,8.983878100076222
GSM1356606,ZBTB17,Fibroblast;Embryo,8.925721077914297
GSM2417164,SOX2,MEFs;Embryonic Fibroblast,8.903965200738922
GSM1463853,ONECUT1,Liver,8.802332418530687
GSM2406330,HDAC3,Liver,8.780166017737873
GSM1341942,RNF2,Embryonic Stem Cell;Embryo,8.747860705023175
GSM840529,NR1D2,Epithelium;Liver,8.66912625524581
GSM2718360,SOX2,Embryonic Fibroblast,8.638046219977028
GSM864671,PPARA,Hepatocyte;Liver,8.566939777166194
GSM2640377,FOXA1,Mouse PDA primary tumor organoid (T6),8.492133763721215
GSM541292,RXRA,Epithelium;Liver,8.437230504213055
GSM1624628,SOX2,Intermediate,8.392686465684587
GSM427089,FOXA2,Hepatocyte;Liver,8.344479690834147
GSM1446063,NR3C1,Liver,8.25786569060294
GSM1572306,ZFP57,Embryonic Stem Cell,8.237900440101118
GSM864675,RXRA,Hepatocyte;Liver,8.142831887929454
GSM1463856,ONECUT1,Liver,8.134544762147758
GSM2612441,ERF,Prostate,8.099276639274137
GSM2610642,KDM6A,Epithelium;intestinal villus,8.055146293678938
GSM2640412,FOXA1,Monolayer-cultured cells established from mouse PDA primary tumor organoid (T3),8.031690874541521
GSM1659686,NR1D1,Liver,7.713466834027594
GSM1659687,NR1D1,Liver,7.700795217814259
GSM647027,NCOR1,Hepatocyte;Liver,7.630386682560114
GSM1446071,NR3C1,Liver,7.585100428873002
GSM2612440,ERF,Prostate,7.529256579869146
GSM1446073,NR3C1,Liver,7.4207584022911455
GSM1151624,MAF,Th17;Blood,7.392422506762523
GSM2218849,NR1D1,Liver,7.334810404055691
GSM1463859,ONECUT1,Liver,7.27934225356652
GSM1831368,HNF1B,IMCD3;Kidney,7.246907642304051
GSM2417138,POU5F1,iPSC,7.167244261029298
GSM647227,TP53,Embryonic Stem Cell;Embryo,7.11658234450262
GSM1831369,HNF1B,IMCD3;Kidney,7.094481112714445
GSM1887377,POLR2A,Embryonic Fibroblast,7.0912852202726135
GSM2406338,HNF4A,Liver,7.064283271497072
GSM1572303,ZFP57,Embryonic Stem Cell,7.0342115576727355
GSM1258240,ASH2L,E14;Embryonic Stem Cell;Embryo,7.002904575256978
GSM2640376,FOXA1,hES-T3,6.984667686898627
GSM2406337,HNF4A,Liver,6.95552191501964
GSM1659689,NR1D1,Liver,6.948380341857866
GSM2718377,POU5F1,Intermediate,6.943500446727986
GSM2718382,SOX2,Intermediate,6.888673985127346
GSM968719,CDX2,Ainv15;Neural Progenitor Cell;Embryo,6.872603859020993
GSM1913075,EP300,Preadipocyte,6.862617284019192
GSM2310060,TEAD1,B Lymphocyte,6.833924521434019
GSM2417139,SOX2,iPSC,6.809002564486302
GSM2287957,HDAC3,Liver,6.806737690196392
GSM1892435,SALL4,Spermatogonia,6.767117138074213
GSM2406332,PROX1,Liver,6.757860495360258
GSM2091494,TEAD4,Blast Cells,6.714354624279889
GSM1537598,CREB1,MC3T3-E1;Pre-osteoblast;Bone,6.707419180327484
GSM1463855,ONECUT1,Liver,6.663808109010435
GSM2610641,KDM6A,Epithelium;intestinal villus,6.5962470420832
GSM2218846,NR1D1,Liver,6.552444057464573
GSM1694861,VDR,Duodenum,6.522047604705076
GSM1305865,RUNX2,MC3T3-E1;Osteoblast;Bone,6.475717106203832
GSM2417131,SOX2,MEFs;Embryonic Fibroblast,6.4586492103636814
GSM1384738,FOXA2,Liver,6.45139359669183
GSM1288310,SMAD2/3,Embryonic Stem Cell;Embryo,6.412331099952025
GSM1027478,RUNX2,MC3T3-E1;Osteoblast;Bone,6.357818149380416
GSM2287956,HDAC3,Liver,6.349725996305359
GSM1446066,NR3C1,Liver,6.312562983913904
GSM2104158,RUNX2,Mesenchymal Stem Cell,6.2553319363938815
GSM2287955,HDAC3,Liver,6.23886262996952
GSM2718376,POU5F1,Intermediate,6.234072556162902
GSM2406333,PROX1,Liver,6.2276100953687665
GSM1027492,RXRA,MC3T3-E1;Osteoblast;Bone,6.190683614010161
GSM2640379,FOXA1,Liver,6.148273031056664
GSM1648622,POU5F1,Intermediate,6.122819296982594
GSM2287953,HDAC3,Liver,6.106434927523634
GSM1059848,POU5F1,F9;Embryonal carcinoma cell;Embryo,6.099606581748079
GSM541298,RXRA,Epithelium;Liver,6.091007757984185
GSM1514929,PPARA,Epithelium;Liver,6.076832737025008
GSM1463858,ONECUT1,Liver,6.069845407217998
GSM2406334,PROX1,Liver,6.048312539234851
GSM1816821,CEBPA,Liver,6.044632423688176
GSM2287952,HDAC3,Liver,6.022769120326813
GSM647225,TP53,Embryonic Stem Cell;Embryo,6.0119240614494585
GSM541295,RXRA,Epithelium;Liver,5.944790519181213
GSM2287954,HDAC3,Liver,5.845451619859531
GSM1390711,HNF4A,Epithelium;Liver,5.8369547965854585
GSM1648629,POU5F1,Intermediate,5.81819654188202
GSM541294,RXRA,Epithelium;Liver,5.8145836834680855
GSM1027479,RUNX2,MC3T3-E1;Osteoblast;Bone,5.763607032924472
GSM1027496,RUNX2,MC3T3-E1;Osteoblast;Bone,5.744218164419365
GSM427088,CEBPB,Hepatocyte;Liver,5.728018383334016
GSM2417167,EP300,MEFs;Embryonic Fibroblast,5.708655261396324
GSM1027493,RXRA,MC3T3-E1;Osteoblast;Bone,5.704490773624711
GSM1463854,ONECUT1,Liver,5.702483440508293
GSM1913001,CREBBP,Preadipocyte,5.696643273122173
GSM1027475,RXRA,MC3T3-E1;Osteoblast;Bone,5.61568555509814
GSM1439562,MED1,iPSC,5.593816907285274
GSM2417193,POU5F1,MEFs;Embryonic Fibroblast,5.585063060156918
GSM1037664,CEBPA,Epithelium;Liver,5.572722460524414
GSM2417190,POU5F1,MEFs;Embryonic Fibroblast,5.566881400462493
GSM1816822,CEBPA,Liver,5.544558183470743
GSM2633459,BRD4,Preadipocyte,5.530037558361417
GSM1027474,RXRA,MC3T3-E1;Osteoblast;Bone,5.529958689141068
GSM1913011,CEBPB,Preadipocyte,5.512932386211813
GSM2124231,ISL1,Ainv15;Embryoid Bodies,5.495348449612024
GSM1694862,VDR,Duodenum,5.465818510033027
GSM860154,STAT5A,Fibroblast;Embryo,5.429087605207089
GSM2258254,EP300,Embryoid Bodies,5.423497147113388
GSM1361946,ESR1,Uterus,5.305632242450502
GSM1631170,CEBPB,Liver,5.245439439868344
GSM1631168,CEBPB,Liver,5.24033462635562
GSM1122515,NR3C1,Epithelium;Liver,5.206761824738949
GSM2633460,BRD4,Preadipocyte,5.202937490562904
GSM2123560,NANOG,Embryonic Stem Cell,5.189748398438637
GSM1648621,POU5F1,Intermediate,5.107225269121042
