state (Emission order)	H3K4me3	H3K27ac	ATAC	H3K4me1	H3K27me3
1	0.04669784896729854	0.5695865285275894	0.6966659794714775	0.8637305915117918	0.032959456790602935
2	0.0013998967731186555	0.0276671272188524	0.01623936817342312	0.1814676002872251	0.00603235410483248
3	0.6950659100463611	0.44133670490026067	0.15963342747301	0.7638405305269217	0.004326028536744119
4	0.944150868337312	0.909823602647838	0.9936561085915931	0.9858654652099981	0.12394857218709873
5	0.9956853804133904	0.8478707624282011	0.9740931135734489	0.29024545706130117	0.04487086863498474
6	0.22847382043208964	0.3235370644320599	0.6259920276391671	0.06436302970279524	6.265607055744314E-4
7	0.003333896843735674	0.1797857272022527	0.7756606813407511	0.0750463027048218	0.10371402672540381
8	0.15525927983132878	0.1622282117823187	0.6723604434498323	0.5446680712530104	0.7042675209441079
9	9.12143344255227E-5	3.846209970763467E-4	0.0016569846071881717	3.9966529832488785E-5	0.004168467841530478
10	9.29149272612675E-5	0.0010130500752267705	0.012977597197194816	0.0016475661434743865	0.20105295628387745
11	0.05051268671072427	0.006156441052162227	0.003821598029738761	9.614017415586772E-4	1.904370555372803E-4
12	0.7071743136403892	0.11487782906955404	0.04905077025310488	0.021761186582635508	0.0023971257417315277
