chr	start	end	TX1072_XX_A3	E14_STN_dTsixP	TX1072_XX_SP106_D5	TX1072_XX_SP107_B6	TX1072_XX_dXic_B6	TX1072_XX_dXertP_B6_B5	TX1072_XX_dXertP_Cast_D5	TX1072_XX_dXertP_E_Cast_E3	TX1072_XX_dXertP_E_Cast_F3	TX1072_XX_dXertE_B6_F6	TX1072_XX_dXertE_Cast_B11	TX1072_XX_dXertE_A10	TX1072_XX_dFtxE_XertE_B6_A10	TX1072_XX_dFtxE_XertE_Cast_C10	TX1072_XX_dFtxE_XertE_F9
1	1	195471971	230999	53066	30851	13653	130169	60079	76738	186845	77970	39743	21670	31698	22245	25727	14750
2	1	182113224	273312	74305	36753	16339	156363	72757	93293	208094	85592	48822	27577	39798	28297	32858	18161
3	1	160039680	160297	38693	21628	9613	87607	40703	53580	138636	59400	27775	15519	22653	15429	18194	10051
4	1	156508116	213252	51366	29291	13127	131885	58181	73199	163461	67527	36279	20247	29525	20996	24472	13927
5	1	151834684	220046	51520	28626	13244	133910	59308	75183	160048	65803	36005	20335	29072	20791	24086	13690
6	1	149736546	187622	44088	26208	11174	107270	48717	62558	145654	60615	31324	17714	25037	17729	21719	11530
7	1	145441459	218503	50449	29239	13354	134293	59505	75218	161751	65452	36323	20329	29532	21422	24587	14165
8	1	129401213	189197	45317	26220	11705	115879	52768	80375	206169	83142	33163	18664	28662	18811	22199	12858
9	1	124595110	183652	43696	24723	11007	110310	49425	62867	138230	56825	32294	18380	26403	18378	21585	11940
10	1	130694993	154872	36881	20470	9330	89451	45602	51350	123061	51581	26062	14652	21113	14766	17204	9801
11	1	122082543	205321	49740	27978	12856	131376	58709	70025	149935	60663	34487	19486	28044	20407	24112	13573
12	1	120129022	153680	36458	20031	9388	88487	40343	51900	118332	49168	26471	14429	21325	15027	17468	9734
13	1	120421639	145719	34352	19227	8758	81082	36847	47813	116005	49119	24408	13339	19676	13755	16072	9013
14	1	124902244	144703	31188	19128	8625	80548	38092	48592	117281	49148	24578	13536	19886	13521	16154	8786
15	1	104043685	138895	32996	18867	8366	84635	37405	47105	104247	42637	23573	13191	19376	13451	15750	9139
16	1	98207768	113480	26437	14755	7387	62878	29057	37299	88615	37260	18694	10430	15222	10670	12572	6920
17	1	94987271	141818	34329	19458	8983	88770	39436	49647	108331	44680	24093	13770	19597	13652	16112	9088
18	1	90702639	105308	24805	13865	6180	58936	27953	35086	83172	34967	17983	9846	14460	10071	11694	6521
19	1	61431566	84213	20524	11569	5215	51227	22742	29112	64884	27032	14264	7913	11552	8360	9772	5398
X	1	171031299	118321	16780	16742	7402	60993	29699	38629	108208	46174	21782	11830	17377	11722	13701	7723
