re	chr	start	end	atac	starr	fantom5	length	nguides
RE1	chrX	103198977	103200000	FALSE	TRUE	FALSE	1023	10
RE2	chrX	103202132	103203098	FALSE	TRUE	FALSE	966	9
RE3	chrX	103209104	103209807	FALSE	TRUE	FALSE	703	7
RE4	chrX	103216873	103218326	FALSE	TRUE	FALSE	1453	44
RE5	chrX	103224317	103225245	FALSE	TRUE	FALSE	928	15
RE6	chrX	103227396	103228165	TRUE	TRUE	FALSE	769	10
RE7	chrX	103234423	103235635	FALSE	TRUE	FALSE	1212	63
RE8	chrX	103236786	103237765	TRUE	FALSE	FALSE	979	58
RE9	chrX	103238848	103239654	FALSE	TRUE	FALSE	806	7
RE10	chrX	103240517	103242156	FALSE	TRUE	FALSE	1639	7
RE11	chrX	103250771	103251075	TRUE	FALSE	FALSE	304	12
RE12	chrX	103252532	103253272	TRUE	FALSE	FALSE	740	20
RE13	chrX	103259630	103260708	TRUE	FALSE	FALSE	1078	79
RE14	chrX	103272890	103273121	TRUE	FALSE	FALSE	231	8
RE15	chrX	103273755	103274904	TRUE	FALSE	FALSE	1149	66
RE16	chrX	103284176	103284419	TRUE	FALSE	FALSE	243	11
RE17	chrX	103287181	103288206	TRUE	FALSE	FALSE	1025	71
RE18	chrX	103288554	103289439	TRUE	FALSE	FALSE	885	67
RE19	chrX	103303238	103303297	FALSE	FALSE	TRUE	59	3
RE20	chrX	103311357	103312713	TRUE	TRUE	FALSE	1356	43
RE21	chrX	103314167	103314433	TRUE	FALSE	FALSE	266	18
RE22	chrX	103320976	103322742	TRUE	FALSE	FALSE	1766	228
RE23	chrX	103326525	103326892	TRUE	FALSE	FALSE	367	33
RE24	chrX	103335297	103336646	TRUE	TRUE	FALSE	1349	31
RE25	chrX	103336647	103338217	TRUE	TRUE	TRUE	1570	37
RE26	chrX	103341242	103342379	TRUE	TRUE	TRUE	1137	36
RE27	chrX	103343797	103344927	FALSE	TRUE	FALSE	1130	12
RE28	chrX	103346537	103347218	TRUE	FALSE	FALSE	681	6
RE29	chrX	103351283	103352337	FALSE	TRUE	FALSE	1054	20
RE30	chrX	103355948	103357216	TRUE	FALSE	FALSE	1268	126
RE31	chrX	103369974	103371812	TRUE	FALSE	FALSE	1838	72
RE32	chrX	103376270	103377095	FALSE	TRUE	FALSE	825	21
RE33	chrX	103381135	103381793	TRUE	FALSE	FALSE	658	28
RE34	chrX	103384708	103385415	TRUE	FALSE	FALSE	707	12
RE35	chrX	103397643	103398118	TRUE	FALSE	FALSE	475	41
RE36	chrX	103398375	103399982	TRUE	TRUE	FALSE	1607	53
RE37	chrX	103403762	103404636	FALSE	TRUE	FALSE	874	18
RE38	chrX	103404637	103405887	TRUE	TRUE	TRUE	1250	82
RE39	chrX	103407964	103409396	FALSE	TRUE	TRUE	1432	31
RE40	chrX	103422368	103422736	TRUE	FALSE	FALSE	368	43
RE41	chrX	103424457	103425223	FALSE	TRUE	FALSE	766	14
RE42	chrX	103427365	103428126	TRUE	FALSE	FALSE	761	55
RE43	chrX	103431557	103433338	TRUE	TRUE	TRUE	1781	70
RE44	chrX	103433900	103434007	FALSE	FALSE	TRUE	107	4
RE45	chrX	103437044	103438131	TRUE	TRUE	TRUE	1087	60
RE46	chrX	103438132	103439239	TRUE	TRUE	TRUE	1107	63
RE47	chrX	103439525	103440039	TRUE	FALSE	FALSE	514	23
RE48	chrX	103440901	103442331	TRUE	TRUE	FALSE	1430	64
RE49	chrX	103447337	103448119	TRUE	FALSE	FALSE	782	80
RE50	chrX	103449601	103450763	FALSE	TRUE	FALSE	1162	71
RE51	chrX	103452861	103454225	TRUE	FALSE	FALSE	1364	21
RE52	chrX	103457369	103458747	TRUE	FALSE	FALSE	1378	77
RE53	chrX	103459292	103460246	TRUE	FALSE	FALSE	954	60
RE54	chrX	103468839	103469292	TRUE	FALSE	FALSE	453	13
RE55	chrX	103471469	103472829	TRUE	FALSE	FALSE	1360	113
RE56	chrX	103477401	103477836	TRUE	FALSE	FALSE	435	29
RE57	chrX	103481046	103482684	TRUE	TRUE	FALSE	1638	167
RE58	chrX	103482685	103483358	FALSE	TRUE	FALSE	673	55
RE59	chrX	103484359	103484885	TRUE	FALSE	FALSE	526	26
RE60	chrX	103485866	103487350	TRUE	FALSE	FALSE	1484	69
RE61	chrX	103492798	103494007	TRUE	FALSE	FALSE	1209	126
RE62	chrX	103506909	103507602	FALSE	TRUE	FALSE	693	23
RE63	chrX	103509413	103509968	TRUE	FALSE	FALSE	555	38
RE64	chrX	103514871	103515677	TRUE	FALSE	FALSE	806	70
RE65	chrX	103519030	103520169	TRUE	FALSE	FALSE	1139	78
RE66	chrX	103520341	103521173	FALSE	TRUE	FALSE	832	47
